,player,date,team,home,opp,min,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
152,/b/bogdabo01,2021-05-03,ATL,,POR,32:07,9,17,7,14,0,0,0,3,3,3,2,0,0,2,25,20.9,-4
153,/b/bogdabo01,2021-05-05,ATL,,PHO,23:55,6,11,4,6,0,0,0,1,1,6,2,2,2,1,16,16.2,-5
154,/b/bogdabo01,2021-05-06,ATL,@,IND,38:57,11,18,6,10,0,0,1,1,2,2,1,0,1,3,28,21.0,+1
155,/b/bogdabo01,2021-05-10,ATL,,WAS,35:41,8,17,7,12,2,2,1,4,5,4,2,0,0,3,25,21.8,+5
156,/b/bogdabo01,2021-05-12,ATL,,WAS,40:08,8,15,4,10,0,0,0,2,2,3,3,1,1,4,20,16.5,+12
157,/b/bogdabo01,2021-05-13,ATL,,ORL,26:22,9,12,4,7,5,5,0,3,3,5,2,0,1,1,27,27.2,+23
158,/w/willilo02,2020-12-22,LAC,@,LAL,25:58,4,9,2,4,1,3,0,2,2,3,0,0,1,2,11,6.4,+1
159,/w/willilo02,2020-12-25,LAC,@,DEN,23:38,3,7,2,4,0,0,0,4,4,3,1,0,1,1,8,7.2,+4
160,/w/willilo02,2020-12-27,LAC,,DAL,9:00,0,4,0,0,0,0,1,0,1,1,0,0,0,0,0,-1.4,-24
161,/w/willilo02,2020-12-29,LAC,,MIN,20:10,7,11,1,2,5,6,1,2,3,5,0,0,1,0,20,18.5,+26
162,/w/willilo02,2020-12-30,LAC,,POR,20:58,7,13,1,4,0,0,0,5,5,2,1,0,1,0,15,11.6,+10
163,/w/willilo02,2021-01-01,LAC,@,UTA,24:44,3,8,0,0,1,2,0,0,0,5,0,0,0,1,7,5.3,-12
164,/w/willilo02,2021-01-03,LAC,@,PHO,21:18,2,6,0,1,0,0,0,1,1,2,1,0,0,1,4,2.9,+11
165,/w/willilo02,2021-01-05,LAC,,SAS,21:18,5,13,2,5,3,3,0,2,2,2,1,0,1,2,15,9.1,+3
166,/w/willilo02,2021-01-06,LAC,@,GSW,19:55,1,4,1,2,0,0,0,1,1,3,1,0,1,1,3,2.6,-4
167,/w/willilo02,2021-01-08,LAC,@,GSW,16:23,3,6,0,1,0,0,1,0,1,0,0,1,3,2,6,0.6,-25
168,/w/willilo02,2021-01-10,LAC,,CHI,23:30,6,10,1,2,8,9,0,1,1,4,3,0,1,1,21,20.7,+16
169,/w/willilo02,2021-01-13,LAC,,NOP,9:14,0,3,0,1,2,2,0,2,2,1,0,0,0,0,2,1.2,+4
170,/w/willilo02,2021-01-20,LAC,,SAC,14:34,2,8,2,4,0,0,1,0,1,1,1,0,1,0,6,2.6,+2
171,/w/willilo02,2021-01-22,LAC,,OKC,20:24,3,8,0,3,3,3,0,1,1,8,0,0,1,0,9,9.5,+8
172,/w/willilo02,2021-01-24,LAC,,OKC,14:14,1,9,1,4,2,2,0,1,1,1,0,0,1,1,5,-1.3,-2
173,/w/willilo02,2021-01-26,LAC,@,ATL,22:14,4,14,1,3,2,2,1,2,3,3,0,0,2,0,11,4.2,-3
174,/w/willilo02,2021-01-28,LAC,@,MIA,28:23,4,9,1,1,8,9,1,4,5,4,2,0,1,2,17,16.8,-2
175,/w/willilo02,2021-01-29,LAC,@,ORL,17:27,4,11,1,1,0,0,0,2,2,3,1,0,2,2,9,3.8,+7
176,/w/willilo02,2021-01-31,LAC,@,NYK,22:30,3,9,1,5,2,2,0,3,3,5,0,0,2,2,9,5.5,+6
177,/w/willilo02,2021-02-02,LAC,@,BRK,20:26,2,7,0,0,0,0,1,0,1,5,2,0,1,1,4,4.7,-4
178,/w/willilo02,2021-02-03,LAC,@,CLE,22:35,5,8,2,3,3,4,0,3,3,3,1,1,4,2,15,10.9,+6
179,/w/willilo02,2021-02-05,LAC,,BOS,22:00,6,10,3,5,3,5,1,1,2,6,1,0,3,0,18,15.8,+3
180,/w/willilo02,2021-02-07,LAC,,SAC,29:07,6,16,1,5,10,10,1,4,5,5,2,0,3,3,23,17.4,+6
