Player,Team,Opp,Home,Round,Game,Prediction,O/U,Line Diff,Prob,Wager,Bet ID,O/U bet,Actual,Diff,Correct,Win,Money
Kawhi Leonard,Los Angeles Clippers,Dallas Mavericks,0,1,4,25.9,33.5,7.6,0.873,87.11,31,0,29,3.1,1,1,1568.872
Jayson Tatum,Boston Celtics,Brooklyn Nets,1,1,4,29.0,32.5,3.5,0.715,18.06,32,0,40,11,0,0,1550.812
Kevin Durant,Brooklyn Nets,Boston Celtics,0,1,4,28.4,27.5,-0.9,0.542,18.06,32,1,42,13.6,1,0,1550.812
Bradley Beal,Washington Wizards,Philadelphia 76ers,1,1,4,30.0,32.5,2.5,0.644,26.13,33,0,27,-3,1,1,1618.75
Joel Embiid,Philadelphia 76ers,Washington Wizards,0,1,4,27.7,30.5,2.8,0.66,26.13,33,0,8,-19.7,1,1,1618.75
Ja Morant,Memphis Grizzlies,Utah Jazz,1,1,4,24.2,26.5,2.3,0.636,14.44,34,0,23,-1.2,1,1,1656.294
Donovan Mitchell,Utah Jazz,Memphis Grizzlies,0,1,4,27.8,26.5,-1.3,0.577,14.44,34,1,30,2.2,1,1,1656.294
Kevin Durant,Brooklyn Nets,Boston Celtics,1,1,5,29.1,30.5,1.4,0.581,34.48,35,0,24,-5.1,1,1,1745.942
Jayson Tatum,Boston Celtics,Brooklyn Nets,0,1,5,29.2,34.5,5.3,0.784,34.48,35,0,32,2.8,1,1,1745.942
Nikola Jokić,Denver Nuggets,Portland Trail Blazers,1,1,5,25.9,32.5,6.6,0.856,128.31,36,0,38,12.1,0,0,1617.632
Damian Lillard,Portland Trail Blazers,Denver Nuggets,0,1,5,27.6,31.5,3.9,0.739,128.31,36,0,55,27.4,0,0,1617.632
Julius Randle,New York Knicks,Atlanta Hawks,1,1,5,24.2,23.5,-0.7,0.531,0,37,1,23,-1.2,1,0,1617.632
Trae Young,Atlanta Hawks,New York Knicks,0,1,5,25.6,25.5,-0.1,0.493,0,37,1,36,10.4,0,0,1617.632
Kawhi Leonard,Los Angeles Clippers,Dallas Mavericks,1,1,5,24.8,30.5,5.7,0.822,28.91,38,0,20,-4.8,1,1,1692.798
Luka Dončić,Dallas Mavericks,Los Angeles Clippers,0,1,5,29.2,28.5,-0.7,0.531,28.91,38,1,42,12.8,1,1,1692.798
Donovan Mitchell,Utah Jazz,Memphis Grizzlies,1,1,5,27.6,28.5,0.9,0.569,12.61,39,0,30,2.4,0,0,1680.188
Ja Morant,Memphis Grizzlies,Utah Jazz,0,1,5,23.7,25.5,1.8,0.623,12.61,39,0,27,3.3,0,0,1680.188
Damian Lillard,Portland Trail Blazers,Denver Nuggets,1,1,6,28.3,34.5,6.2,0.83,170.97,40,0,28,-0.3,1,0,1509.218
